PA,SZ,AG,Sex,Pop,Time
Ang Mo Kio,Yio Chu Kang,40_to_44,Females,1500,2000
Ang Mo Kio,Yio Chu Kang,45_to_49,Males,1390,2000
Ang Mo Kio,Yio Chu Kang,45_to_49,Females,1470,2000
Ang Mo Kio,Yio Chu Kang,50_to_54,Males,1120,2000
Ang Mo Kio,Yio Chu Kang,50_to_54,Females,1050,2000
Ang Mo Kio,Yio Chu Kang,55_to_59,Males,580,2000
Ang Mo Kio,Yio Chu Kang,55_to_59,Females,520,2000
Ang Mo Kio,Yio Chu Kang,60_to_64,Males,450,2000
Ang Mo Kio,Yio Chu Kang,60_to_64,Females,450,2000
Ang Mo Kio,Yio Chu Kang,65_to_69,Males,290,2000
Ang Mo Kio,Yio Chu Kang,65_to_69,Females,380,2000
Ang Mo Kio,Yio Chu Kang,70_to_74,Males,220,2000
Ang Mo Kio,Yio Chu Kang,70_to_74,Females,290,2000
Ang Mo Kio,Yio Chu Kang,75_to_79,Males,130,2000
Ang Mo Kio,Yio Chu Kang,75_to_79,Females,170,2000
Ang Mo Kio,Yio Chu Kang,80_to_84,Males,60,2000
Ang Mo Kio,Yio Chu Kang,80_to_84,Females,100,2000
Ang Mo Kio,Yio Chu Kang,85_and_over,Males,40,2000
Ang Mo Kio,Yio Chu Kang,85_and_over,Females,100,2000
Bedok,Bayshore,0_to_4,Males,140,2000
Bedok,Bayshore,0_to_4,Females,140,2000
Bedok,Bayshore,5_to_9,Males,190,2000
Bedok,Bayshore,5_to_9,Females,150,2000
Bedok,Bayshore,10_to_14,Males,130,2000
Bedok,Bayshore,10_to_14,Females,110,2000
Bedok,Bayshore,15_to_19,Males,110,2000
Bedok,Bayshore,15_to_19,Females,100,2000
Bedok,Bayshore,20_to_24,Males,90,2000
Bedok,Bayshore,20_to_24,Females,110,2000
Bedok,Bayshore,25_to_29,Males,130,2000
Bedok,Bayshore,25_to_29,Females,170,2000
Bedok,Bayshore,30_to_34,Males,200,2000
Bedok,Bayshore,30_to_34,Females,280,2000
Bedok,Bayshore,35_to_39,Males,300,2000
Bedok,Bayshore,35_to_39,Females,280,2000
Bedok,Bayshore,40_to_44,Males,220,2000
Bedok,Bayshore,40_to_44,Females,220,2000
Bedok,Bayshore,45_to_49,Males,180,2000
Bedok,Bayshore,45_to_49,Females,160,2000
Bedok,Bayshore,50_to_54,Males,130,2000
Bedok,Bayshore,50_to_54,Females,130,2000
Bedok,Bayshore,55_to_59,Males,70,2000
Bedok,Bayshore,55_to_59,Females,60,2000
Bedok,Bayshore,60_to_64,Males,50,2000
Bedok,Bayshore,60_to_64,Females,50,2000
Bedok,Bayshore,65_to_69,Males,30,2000
Bedok,Bayshore,65_to_69,Females,30,2000
Bedok,Bayshore,70_to_74,Males,20,2000
Bedok,Bayshore,70_to_74,Females,30,2000
Bedok,Bayshore,75_to_79,Males,10,2000
Bedok,Bayshore,75_to_79,Females,20,2000
Bedok,Bayshore,80_to_84,Males,0,2000
Bedok,Bayshore,80_to_84,Females,10,2000
Bedok,Bayshore,85_and_over,Males,0,2000
Bedok,Bayshore,85_and_over,Females,10,2000
Bedok,Bedok North,0_to_4,Males,2650,2000
Bedok,Bedok North,0_to_4,Females,2350,2000
Bedok,Bedok North,5_to_9,Males,3170,2000
Bedok,Bedok North,5_to_9,Females,3110,2000
Bedok,Bedok North,10_to_14,Males,3010,2000
Bedok,Bedok North,10_to_14,Females,2800,2000
Bedok,Bedok North,15_to_19,Males,3040,2000
Bedok,Bedok North,15_to_19,Females,3010,2000
Bedok,Bedok North,20_to_24,Males,3430,2000
Bedok,Bedok North,20_to_24,Females,3400,2000
Bedok,Bedok North,25_to_29,Males,3780,2000
Bedok,Bedok North,25_to_29,Females,3660,2000
Bedok,Bedok North,30_to_34,Males,3500,2000
Bedok,Bedok North,30_to_34,Females,3100,2000
Bedok,Bedok North,35_to_39,Males,3950,2000
Bedok,Bedok North,35_to_39,Females,3660,2000
Bedok,Bedok North,40_to_44,Males,3880,2000
Bedok,Bedok North,40_to_44,Females,3850,2000
Bedok,Bedok North,45_to_49,Males,3550,2000
Bedok,Bedok North,45_to_49,Females,3800,2000
Bedok,Bedok North,50_to_54,Males,3180,2000
Bedok,Bedok North,50_to_54,Females,3380,2000
Bedok,Bedok North,55_to_59,Males,2020,2000
