Country,Country,Year,Avg. Income,Avg. LifeExp,Pop
France,France,1801,1810,36.4,29400000
Finland,Finland,1801,1250,40.3,986000
Fiji,Fiji,1801,785,26.1,131000
Ethiopia,Ethiopia,1801,523,29.7,2950000
Estonia,Estonia,1801,939,35.7,334000
Eritrea,Eritrea,1801,532,30.2,205000
Equatorial Guinea,Equatorial Guinea,1801,356,29.8,80400
El Salvador,El Salvador,1801,975,28.7,248000
Egypt,Egypt,1801,791,33,4240000
Ecuador,Ecuador,1801,529,32.9,500000
Dominican Republic,Dominican Republic,1801,667,29.9,89000
Dominica,Dominica,1801,663,,20000
Djibouti,Djibouti,1801,754,29.9,22800
Denmark,Denmark,1801,2020,38.5,1070000
Czech Republic,Czech Republic,1801,1920,35,5520000
Cyprus,Cyprus,1801,854,38.5,184000
Cuba,Cuba,1801,874,32.3,355000
Croatia,Croatia,1801,1090,36.1,1230000
Cote d'Ivoire,Cote d'Ivoire,1801,816,31.2,1090000
Costa Rica,Costa Rica,1801,775,30.2,53000
"Congo, Dem. Rep.","Congo, Dem. Rep.",1801,487,31.6,5160000
Comoros,Comoros,1801,697,32.1,56300
Colombia,Colombia,1801,962,32,1210000
China,China,1801,984,32,324000000
Chile,Chile,1801,1030,32,771000
Chad,Chad,1801,418,30.9,1430000
Central African Republic,Central African Republic,1801,424,30,479000
Canada,Canada,1801,1320,39,653000
Cameroon,Cameroon,1801,626,28.8,1860000
Cambodia,Cambodia,1801,904,35,2090000
Burundi,Burundi,1801,418,31.5,899000
Burkina Faso,Burkina Faso,1801,480,29.2,1670000
Bulgaria,Bulgaria,1801,1090,35.8,2000000
Brazil,Brazil,1801,1110,32,3680000
Botswana,Botswana,1801,397,33.6,121000
Bosnia and Herzegovina,Bosnia and Herzegovina,1801,669,35.1,852000
Bhutan,Bhutan,1801,629,28.8,90000
Benin,Benin,1801,597,31,637000
Belize,Belize,1801,579,26.5,25500
Belgium,Belgium,1801,2410,40,3150000
Belarus,Belarus,1801,608,36.2,2360000
Barbados,Barbados,1801,914,32.1,81700
Bangladesh,Bangladesh,1801,876,25.5,19300000
Bahrain,Bahrain,1801,1240,30.3,64500
Bahamas,Bahamas,1801,1450,35.2,27400
Azerbaijan,Azerbaijan,1801,775,29.2,880000
Austria,Austria,1801,1850,34.4,3210000
Australia,Australia,1801,816,34,350000
Armenia,Armenia,1801,514,34,413000
Argentina,Argentina,1801,1510,33.2,534000
Antigua and Barbuda,Antigua and Barbuda,1801,757,33.5,37000
Angola,Angola,1801,620,27,1570000
Andorra,Andorra,1801,1200,,2650
Algeria,Algeria,1801,716,28.8,2510000
Albania,Albania,1801,667,35.4,412000
Afghanistan,Afghanistan,1801,603,28.2,3280000
Vietnam,,1801,861,32,6550000
Turkmenistan,,1801,944,24,367000
Swaziland,,1801,490,32.3,86000
"Micronesia, Fed. Sts.",,1801,518,26.7,16400
"Macedonia, FYR",,1801,690,36.1,392000
Kazakhstan,,1801,1140,26.2,2040000
"Congo, Rep.",,1801,576,32.7,314000
Cape Verde,,1801,529,33.8,55700
Brunei,,1801,1510,29.2,2130
Bolivia,,1801,854,33,1100000
Zimbabwe,Zimbabwe,1802,871,33.7,1090000
Zambia,Zambia,1802,667,32.6,747000
Yemen,Yemen,1802,882,23.4,2590000
Venezuela,Venezuela,1802,682,32.2,718000
Vanuatu,Vanuatu,1802,586,24.3,27800
Uzbekistan,Uzbekistan,1802,502,26.9,1920000
Uruguay,Uruguay,1802,1760,32.9,55000
United States,United States,1802,2200,39.4,7070000
United Kingdom,United Kingdom,1802,3450,38.6,12600000
United Arab Emirates,United Arab Emirates,1802,1010,30.7,40200
Ukraine,Ukraine,1802,765,36.6,11200000
Uganda,Uganda,1802,464,25.3,2100000
Turkey,Turkey,1802,1220,35,9800000
Tunisia,Tunisia,1802,716,28.8,863000
Trinidad and Tobago,Trinidad and Tobago,1802,1230,32.9,60000
Tonga,Tonga,1802,663,28.2,18700
Togo,Togo,1802,683,31.3,446000
Timor-Leste,Timor-Leste,1802,523,28.9,137000
Thailand,Thailand,1802,931,30.4,4670000
Tanzania,Tanzania,1802,562,32.2,3020000
Tajikistan,Tajikistan,1802,557,24.2,467000
Syria,Syria,1802,1080,31.1,1340000
Switzerland,Switzerland,1802,2700,38,1840000
Sweden,Sweden,1802,1470,40.2,2360000
Suriname,Suriname,1802,1640,32.9,80700
Sudan,Sudan,1802,518,31.4,4000000
St. Vincent and the Grenadines,St. Vincent and the Grenadines,1802,838,26,25800
St. Lucia,St. Lucia,1802,875,28,24000
Sri Lanka,Sri Lanka,1802,898,32.6,1210000
Spain,Spain,1802,1520,29.5,11600000
South Sudan,South Sudan,1802,507,26.7,1030000
South Korea,South Korea,1802,574,25.8,9400000
South Africa,South Africa,1802,1480,33.5,1450000
Somalia,Somalia,1802,695,29.4,992000
Solomon Islands,Solomon Islands,1802,363,25.1,57000
Slovenia,Slovenia,1802,1410,36.6,470000
Slovak Republic,Slovak Republic,1802,1430,36.4,2140000
Singapore,Singapore,1802,1020,29.1,30000
Sierra Leone,Sierra Leone,1802,734,25.1,794000
Seychelles,Seychelles,1802,798,37,12500
Serbia,Serbia,1802,1360,35.5,2150000
Senegal,Senegal,1802,497,25.2,1010000
Saudi Arabia,Saudi Arabia,1802,847,32.1,2090000
Sao Tome and Principe,Sao Tome and Principe,1802,853,31,22700
Samoa,Samoa,1802,1400,25.4,47300
Rwanda,Rwanda,1802,432,25,928000
Russia,Russia,1802,1430,29.6,31100000
Romania,Romania,1802,815,35.7,5550000
Qatar,Qatar,1802,1110,30.8,14100
Portugal,Portugal,1802,1680,35.6,3060000
Poland,Poland,1802,1220,35.9,9600000
Philippines,Philippines,1802,962,30.9,1890000
Peru,Peru,1802,1200,35.7,1310000
Paraguay,Paraguay,1802,835,35.5,143000
Papua New Guinea,Papua New Guinea,1802,546,31.5,755000
Panama,Panama,1802,847,32.9,78800
Palestine,Palestine,1802,1220,32.1,166000
Pakistan,Pakistan,1802,1020,25.8,13200000
Oman,Oman,1802,916,32.3,318000
Norway,Norway,1802,1280,38.4,878000
North Korea,North Korea,1802,577,26,4350000
Nigeria,Nigeria,1802,854,30.4,12100000
Niger,Niger,1802,446,30.8,1240000
Nicaragua,Nicaragua,1802,973,25.4,219000
New Zealand,New Zealand,1802,658,34,100000
Netherlands,Netherlands,1802,4390,39.9,2260000
Nepal,Nepal,1802,654,32.8,3880000
Namibia,Namibia,1802,540,32.4,229000
Myanmar,Myanmar,1802,840,30.8,3510000
Mozambique,Mozambique,1802,391,30.3,1990000
Morocco,Morocco,1802,715,33.1,2520000
Montenegro,Montenegro,1802,1060,35.4,127000
Mongolia,Mongolia,1802,592,31.8,619000
Moldova,Moldova,1802,621,33.1,713000
Mexico,Mexico,1802,1380,26.9,6220000
Mauritius,Mauritius,1802,940,28.7,65600
Mauritania,Mauritania,1802,528,32,383000
Marshall Islands,Marshall Islands,1802,540,,5830
Malta,Malta,1802,782,28.7,134000
Mali,Mali,1802,603,26.4,1400000
Maldives,Maldives,1802,843,32.6,42400
Malaysia,Malaysia,1802,997,30.6,287000
Malawi,Malawi,1802,350,30.3,737000
Madagascar,Madagascar,1802,573,30.5,1560000
Luxembourg,Luxembourg,1802,1450,36.9,127000
Lithuania,Lithuania,1802,1270,28.9,779000
Libya,Libya,1802,1050,33.1,532000
Liberia,Liberia,1802,797,31.1,314000
Lesotho,Lesotho,1802,394,32.8,276000
Lebanon,Lebanon,1802,1080,29.7,332000
Latvia,Latvia,1802,753,33,591000
Lao,Lao,1802,865,31.9,470000
Kyrgyz Republic,Kyrgyz Republic,1802,508,23.9,530000
Kuwait,Kuwait,1802,1110,26,81300
Kiribati,Kiribati,1802,552,24.9,17900
Kenya,Kenya,1802,859,25.5,2570000
Jordan,Jordan,1802,976,31.7,217000
Japan,Japan,1802,1050,36.4,30400000
Jamaica,Jamaica,1802,1170,34.2,401000
Italy,Italy,1802,2270,29.7,19000000
Israel,Israel,1802,880,32,210000
Ireland,Ireland,1802,1450,38.3,4150000
Iraq,Iraq,1802,970,31.2,1080000
Iran,Iran,1802,977,25.6,6300000
Indonesia,Indonesia,1802,995,30,16200000
India,India,1802,1050,25,169000000
Iceland,Iceland,1802,927,27.6,61400
